File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Sample Type
2afe74b1-728f-4b58-bdaa-3337f8840b33	TCGA-BH-A0E2-01A-01-TSA.8220f6e4-60c4-40cf-836a-b420f70efa19.svs	Biospecimen	Slide Image	TCGA-BRCA	TCGA-BH-A0E2	TCGA-BH-A0E2-01A	Primary Tumor
07799d29-6525-4939-9b8f-e2234c76c437	TCGA-A8-A08L-01A-01-BSA.974269aa-b6eb-414a-afc3-0b0ceb146c9f.svs	Biospecimen	Slide Image	TCGA-BRCA	TCGA-A8-A08L	TCGA-A8-A08L-01A	Primary Tumor
8e161134-2fb7-44a3-8f4d-708095592419	TCGA-A7-A4SD-11A-04-TS4.765F46C1-EDCF-4CD8-AE39-F82685BA2C98.svs	Biospecimen	Slide Image	TCGA-BRCA	TCGA-A7-A4SD	TCGA-A7-A4SD-11A	Solid Tissue Normal
bb970ca5-08ab-4fb3-9946-94bd0d874612	TCGA-A7-A4SD-11A-02-TS2.814EF719-45A4-434E-AF3F-146AB8ED391C.svs	Biospecimen	Slide Image	TCGA-BRCA	TCGA-A7-A4SD	TCGA-A7-A4SD-11A	Solid Tissue Normal
cad05ca7-3b00-45ea-918a-28fa0ac85098	TCGA-A7-A4SD-11A-01-TS1.E7EA3BF0-2C9C-436F-A473-580F8BC84597.svs	Biospecimen	Slide Image	TCGA-BRCA	TCGA-A7-A4SD	TCGA-A7-A4SD-11A	Solid Tissue Normal
48701aba-2783-497e-b51b-f05f0714a608	TCGA-XX-A899-11A-02-TS2.56D6DF2F-0C98-479C-948D-0BF5CEC43850.svs	Biospecimen	Slide Image	TCGA-BRCA	TCGA-XX-A899	TCGA-XX-A899-11A	Solid Tissue Normal
414db8bf-936e-443e-b4ba-3e8c9ed35571	TCGA-XX-A899-01A-01-TS1.2DDFDCB0-BA90-4AFD-BF9A-A7B956B581FE.svs	Biospecimen	Slide Image	TCGA-BRCA	TCGA-XX-A899	TCGA-XX-A899-01A	Primary Tumor
4376ed65-6ff5-476c-8d54-4e426f79d21f	TCGA-A2-A0EM-01A-01-BSA.aef9970e-ae41-478b-bdd1-510eec165c06.svs	Biospecimen	Slide Image	TCGA-BRCA	TCGA-A2-A0EM	TCGA-A2-A0EM-01A	Primary Tumor
feb7ca2e-349d-457d-aa87-786ad425080a	TCGA-AO-A12D-01A-01-TSA.f28ffd60-5d5f-4fec-8776-bf587f1f2496.svs	Biospecimen	Slide Image	TCGA-BRCA	TCGA-AO-A12D	TCGA-AO-A12D-01A	Primary Tumor
1479d3b4-3afa-48a6-b5c1-7ddbe5ed7103	TCGA-AR-A1AQ-01A-01-TSA.113b2018-7bb9-44bd-aa80-63eaf688b555.svs	Biospecimen	Slide Image	TCGA-BRCA	TCGA-AR-A1AQ	TCGA-AR-A1AQ-01A	Primary Tumor
33c8b7ef-a51e-4d3b-a946-ddb3a33bd3b9	TCGA-AR-A24N-01A-01-TSA.b617b299-5c2d-45c3-b018-6b8cf0e84811.svs	Biospecimen	Slide Image	TCGA-BRCA	TCGA-AR-A24N	TCGA-AR-A24N-01A	Primary Tumor
4fc7de07-1bfe-4a7b-b1a4-6573535e447c	TCGA-A2-A0EM-01A-01-TSA.c792570c-b567-47a4-8092-4f9021843df7.svs	Biospecimen	Slide Image	TCGA-BRCA	TCGA-A2-A0EM	TCGA-A2-A0EM-01A	Primary Tumor
0dcef293-411f-45a4-8aac-2a4934d25565	TCGA-A2-A0SW-01A-01-TSA.dff06b29-6dfc-4d17-8b78-0ef50f9aa985.svs	Biospecimen	Slide Image	TCGA-BRCA	TCGA-A2-A0SW	TCGA-A2-A0SW-01A	Primary Tumor
111e8bf1-c6bc-44fa-8f47-9e17a89ece64	TCGA-B6-A0X4-01A-01-TS1.5a7fe82b-410b-42da-b90c-a63bc1cb2a38.svs	Biospecimen	Slide Image	TCGA-BRCA	TCGA-B6-A0X4	TCGA-B6-A0X4-01A	Primary Tumor
408c58ce-87ca-4694-b3cf-b6aff22b7708	TCGA-A8-A094-01A-01-TS1.f4ebf386-f3b5-4bd4-8cb5-64c14fe6bc94.svs	Biospecimen	Slide Image	TCGA-BRCA	TCGA-A8-A094	TCGA-A8-A094-01A	Primary Tumor
f6dec9d0-e062-4cb2-8c5a-626c27f421ed	TCGA-OL-A5DA-01A-01-TSA.CA041E3A-7E06-4872-B706-C7471CFFDA55.svs	Biospecimen	Slide Image	TCGA-BRCA	TCGA-OL-A5DA	TCGA-OL-A5DA-01A	Primary Tumor
8076f27f-5e7d-4de4-899f-a4c803d9b386	TCGA-LQ-A4E4-01A-01-TSA.5A2B4B62-4AD7-48F1-AF47-3CC66305AE3B.svs	Biospecimen	Slide Image	TCGA-BRCA	TCGA-LQ-A4E4	TCGA-LQ-A4E4-01A	Primary Tumor
7f4cf171-956e-4a05-b51c-fafaca31e169	TCGA-A7-A425-01A-01-TSA.D8ECCE2B-4CC3-4459-8C20-9F21DE0F9241.svs	Biospecimen	Slide Image	TCGA-BRCA	TCGA-A7-A425	TCGA-A7-A425-01A	Primary Tumor
72c7c32f-153b-4002-82c6-51641c5d5b7f	TCGA-A7-A13D-01B-04-BS4.CEB8AD38-4ED8-4D93-B532-945AB128C9DA.svs	Biospecimen	Slide Image	TCGA-BRCA	TCGA-A7-A13D	TCGA-A7-A13D-01B	Primary Tumor
495ab2ae-0286-4d87-8c7b-4d4af7eded01	TCGA-BH-A18H-01A-01-TSA.75dba5a3-f9f5-4ff4-814c-7d2451820e03.svs	Biospecimen	Slide Image	TCGA-BRCA	TCGA-BH-A18H	TCGA-BH-A18H-01A	Primary Tumor
9e6f68cb-be6e-46cd-8c08-26d373b9306e	TCGA-AO-A0JA-01A-01-BSA.c9bb5119-6e0c-4d16-9da4-82a7e553b309.svs	Biospecimen	Slide Image	TCGA-BRCA	TCGA-AO-A0JA	TCGA-AO-A0JA-01A	Primary Tumor
669a71dd-c9fd-41e2-a736-7d54574af04c	TCGA-AO-A0JA-01A-01-TSA.818b6240-5b8c-488c-9354-0faeb5491495.svs	Biospecimen	Slide Image	TCGA-BRCA	TCGA-AO-A0JA	TCGA-AO-A0JA-01A	Primary Tumor
ab743bdd-fe44-4a2b-a365-dc1f7b66dacb	TCGA-AO-A1KR-01A-01-TSA.78fa04a1-d5f6-4468-9da5-72e7abb8de86.svs	Biospecimen	Slide Image	TCGA-BRCA	TCGA-AO-A1KR	TCGA-AO-A1KR-01A	Primary Tumor
140f1097-9544-4d00-af9f-1291d8de8091	TCGA-E2-A154-01A-01-TS1.49b5b0d1-36eb-486f-bcf2-e575ac4764bd.svs	Biospecimen	Slide Image	TCGA-BRCA	TCGA-E2-A154	TCGA-E2-A154-01A	Primary Tumor
6cc9bdad-3849-48bf-95d8-2f23d8eb785d	TCGA-BH-A0H5-01A-02-TSB.3b222475-012c-4642-8b1b-3a16a77af4fc.svs	Biospecimen	Slide Image	TCGA-BRCA	TCGA-BH-A0H5	TCGA-BH-A0H5-01A	Primary Tumor
09e0b1eb-049e-4914-89ea-9d681de445a6	TCGA-A7-A13D-01A-01-BS1.3182c3e9-b439-4e20-9445-207142d22dba.svs	Biospecimen	Slide Image	TCGA-BRCA	TCGA-A7-A13D	TCGA-A7-A13D-01A	Primary Tumor
53d31cb5-5a3c-470b-814d-d67a79098388	TCGA-A8-A08A-01A-01-TS1.e7bdf564-67d2-46dc-bd6a-439cdc74e163.svs	Biospecimen	Slide Image	TCGA-BRCA	TCGA-A8-A08A	TCGA-A8-A08A-01A	Primary Tumor
db8ecf99-9181-4336-a503-3c50193ab5e3	TCGA-A8-A085-01A-01-BS1.6119b721-29a2-4fbc-ac0b-1091877a8b29.svs	Biospecimen	Slide Image	TCGA-BRCA	TCGA-A8-A085	TCGA-A8-A085-01A	Primary Tumor
d302485d-cfd4-44c8-8987-ccc0d515cd40	TCGA-A8-A085-01A-01-TS1.fa2aa0e5-c6fb-44fa-b407-9fa5b2912a81.svs	Biospecimen	Slide Image	TCGA-BRCA	TCGA-A8-A085	TCGA-A8-A085-01A	Primary Tumor
54f2de56-4133-42c0-bf0f-d6cdb6c50243	TCGA-BH-A0W3-01A-01-BS1.9f99ad93-48ed-4780-ac06-f70d8aefb2f5.svs	Biospecimen	Slide Image	TCGA-BRCA	TCGA-BH-A0W3	TCGA-BH-A0W3-01A	Primary Tumor
dc3b10db-17ed-42bd-90b7-dab729ddd6e2	TCGA-AN-A0XV-01A-01-BS1.201534ca-5d66-4801-b552-b55fba346e62.svs	Biospecimen	Slide Image	TCGA-BRCA	TCGA-AN-A0XV	TCGA-AN-A0XV-01A	Primary Tumor
48b0c0f5-444e-4ac5-8326-12612c0f5d7c	TCGA-OL-A66L-01A-01-TSA.1A607901-B225-4E1B-B6F1-449FA90EE9B8.svs	Biospecimen	Slide Image	TCGA-BRCA	TCGA-OL-A66L	TCGA-OL-A66L-01A	Primary Tumor
59c64f9e-d972-4165-9812-414f631f4a49	TCGA-AR-A24V-01A-02-TSB.7b8bf9db-edd3-490a-a14b-365e749e3b57.svs	Biospecimen	Slide Image	TCGA-BRCA	TCGA-AR-A24V	TCGA-AR-A24V-01A	Primary Tumor
